"FM_MEDIO_ESP" "FM_0,995_ESP"
"1" 3,29631545852621 4,84231465140324
"2" 3,13573967504208 4,6504199005339
"3" 2,97583191832117 4,45934658473473
"4" 2,81761051683061 4,27034865967018
"5" 2,66240933690926 4,08507146929652
"6" 2,51175681463172 3,90540424353955
"7" 2,36726775392553 3,73334788871917
"8" 2,23054799134792 3,57089820910239
"9" 2,10311202757976 3,41994469952977
"10" 1,98631368315559 3,28218499971461
"11" 1,88128975775537 3,15905500836471
"12" 1,78891656515517 3,051674527632
"13" 1,70977908631846 2,96080815350104
"14" 1,64415233772368 2,88684095349648
"15" 1,59199439737543 2,82976828730828
"16" 1,55295037334313 2,78919893615306
"17" 1,52636644513327 2,76437052012599
"18" 1,51131296236214 2,75417600620349
"19" 1,50661545321291 2,75719994912922
"20" 1,51089228162516 2,77176296867299
"21" 1,52259760102572 2,79597285445797
"22" 1,54006818690257 2,82778060761607
"23" 1,56157269312152 2,86503967996258
"24" 1,58536186925297 2,90556665822368
"25" 1,60971829915589 2,94720166417072
"26" 1,63300427466635 2,98786680138528
"27" 1,65370650165276 3,02562107490267
"28" 1,67047644733939 3,05871033932327
"29" 1,68216527533931 3,08561099143169
"30" 1,68785247528752 3,10506631141523
"31" 1,68686747374984 3,11611456821769
"32" 1,67880370813924 3,11810823460686
"33" 1,66352485125305 3,11072390091841
"34" 1,64116308604051 3,09396272758527
"35" 1,61210954346366 3,06814152971131
"36" 1,57699722595054 3,03387483631144
"37" 1,53667694018668 2,99204850674268
"38" 1,49218695130807 2,94378571188518
"39" 1,44471724174758 2,89040629278731
"40" 1,39556940830403 2,83338069029064
"41" 1,34611335725631 2,77427979176755
"42" 1,29774205697648 2,71472216245584
"43" 1,25182567865664 2,6563202167134
"44" 1,20966649736001 2,60062693748625
"45" 1,17245593734445 2,54908476997509
"46" 1,14123512799852 2,50297829844345
"47" 1,11686029110903 2,46339226484676
"48" 1,09997420866613 2,43117640692561
"49" 1,09098492589162 2,40691848494996
"50" 1,09005273024121 2,3909267346174
"51" 1,09708631801859 2,38322283365526
"52" 1,1117489207585 2,38354630709247
"53" 1,13347501897831 2,39137112716556
"54" 1,16149812695557 2,40593509509306
"55" 1,19488999485511 2,42628243054626
"56" 1,23261145001053 2,45131984786791
"57" 1,27357499379928 2,47988627341226
"58" 1,31671919071978 2,51083626332267
"59" 1,36109483836084 2,54313712314966
"60" 1,40596289725673 2,57597971738643
